date;NORTH;YORKSHSIDE;NORTHWEST;EASTMIDS;WESTMIDS;EASTANGLIA;OUTERSEAST;OUTERMET;LONDON;SOUTHWEST;WALES;SCOTLAND;NIRELAND;UK;UKrec
"35;42,96238554;49,45605593;39,29824111;46,24015004;42,12949225;48,33182551;48,76698787;46,4352411;47,58589481;45,77627629;45,82206592;47,72461776;66,29520035;49,01736683;0"
"36;43,93101086;49,49230379;39,60904235;46,52065244;42,36639734;50,14376118;49,54969103;47,66247654;48,26096401;46,60986943;47,56511068;47,63915938;65,41551055;49,67749569;0"
"37;46,57139871;51,45286962;40,99066126;48,21719824;43,67391807;51,35338966;51,3713063;49,41729275;50,19969181;47,63945601;48,56997535;48,76559999;66,82453779;51,17633404;0"
"38;46,0868524;52,76064286;41,77444512;49,94645824;45,42518568;53,24352576;53,94720576;51,59907128;51,49178471;50,05354213;49,50448007;50,53913307;67,2623466;52,70751978;0"
"39;47,53371952;54,30906316;42,6865525;51,47741033;45,94076009;54,84906241;56,08649465;54,33695451;54,08746969;52,0684438;51,12113957;52,00745666;68,42872071;54,3737851;0"
"40;50,08893748;55,79254371;43,76921717;52,65385311;47,18173962;57,11463518;58,51850966;56,04484331;56,73793035;53,7367776;51,94469106;53,70175744;69,55280175;56,07595741;0"
"41;50,05103379;56,42268133;44,68277065;53,78127711;48,00790418;58,18423242;60,17704814;58,72057682;58,54745657;55,6089762;52,51935187;54,9043434;71,05891097;57,2327873;0"
"42;51,86530412;58,09120928;46,42692631;55,07338747;49,61279445;60,81414661;63,21042978;61,35336915;61,67905243;57,37854239;54,6080677;56,23421705;72,43356349;59,50186702;1"
"43;53,37474253;59,5962727;47,73192223;56,9147436;50,87325731;62,56938684;65,30920488;63,74589168;64,29186767;58,34697847;56,571179;57,84589074;73,31025724;61,21392769;1"
"44;54,15457081;60,21352104;47,92004307;57,99614098;51,16085979;64,35070793;66,94748142;65,4843562;65,72433292;59,91535147;57,62703191;58,67408483;74,76384861;62,18062756;1"
"45;56,00127193;64,34872504;50,50501352;60,66425619;53,84837422;67,32947238;69,99317309;67,88298545;69,3613852;63,20320648;58,50426306;61,28677062;77,05473292;65,00355914;1"
"46;57,26320019;65,10269198;51,56483736;62,60853004;55,47250465;70,07303568;72,16348518;70,48250616;72,80981596;64,56902326;59,521205;62,9017122;79,22886795;66,6898065;1"
"47;58,23729247;66,46594073;52,22251769;63,0832566;55,6680897;71,97584438;73,89928796;72,62470179;75,21049506;65,67242446;60,66738432;63,24325146;77,7279755;67,84632276;1"
"48;58,81574549;66,89362921;52,80088742;64,29889587;56,31869803;73,07908466;75,64380475;74,73989556;77,79060295;66,97228014;60,74234171;63,63496993;80,3740172;68,9674497;1"
"49;60,04872522;68,68624802;53,54799208;65,18666214;57,13962752;75,77409121;78,23160898;78,00310227;81,70774311;69,03042327;62,64425933;64,37269226;81,11420961;70,72349082;1"
"50;59,83152653;68,41671373;53,60803154;67,24008267;57,19658602;77,09203576;80,48549544;79,01224899;84,96527427;71,13426844;62,63733392;64,7539485;80,41170049;71,75575516;0"
"51;61,84438143;69,22618846;54,34287939;68,75885365;57,96061888;79,07153364;83,04015583;82,30805994;88,3534212;73,4315151;63,24304561;65,65516236;81,64642339;73,4777286;0"
"52;59,64609955;70,33597105;55,3109232;70,56653219;58,57876648;81,74327174;87,04430714;86,87809924;94,80049841;75,64082257;64,44318483;66,0703605;83,1149523;75,91125528;0"
"53;62,79090609;71,53753166;56,44897403;73,31264127;61,3026457;87,20558865;92,27321823;93,71238856;102,1312062;79,30264724;66,62143215;66,79135063;82,52653853;78,99167399;0"
"54;63,97784307;75,29546571;57,86337523;76,52894316;64,34369858;91,90651417;97,41876615;101,1360876;109,0447989;82,98324935;67,10711493;68,58774634;80,73866396;82,47197622;0"
"55;64,10736155;77,25694499;58,53991059;78,49411784;67,16260262;98,04998969;102,6957965;106,6408395;116,0645817;86,59187414;68,89577847;67,95314931;84,16727666;85,29089497;0"
"56;64,28847275;77,26290427;59,41654902;78,90361034;69,53077778;104,3907677;109,3240287;111,7928302;122,2264754;89,27587373;69,40025477;67,80038858;83,68521094;88,03825696;0"
"57;62,19194984;76,57515919;59,08708047;80,32078447;70,82607577;108,9297103;111,8435645;114,1210608;122,2139656;92,54993899;67,49481408;67,17328928;80,17224673;88,55852031;0"
"58;62,85353339;76,4375068;60,13162862;83,15978294;74,60869783;120,1281265;119,7359869;118,8546756;124,6232512;99,77997235;70,27821253;66,42871866;80,5311768;91,079698;0"
"59;63,6478916;81,88150229;62,41637167;92,67924822;83,5296098;132,8806033;128,7261957;124,510332;130,4359969;111,4058765;72,92180084;67,35225347;80,08990394;97,00876581;0"
"60;67,24168258;91,64706917;67,13855535;108,4633615;97,70417625;153,3531859;143,9397691;133,8686588;138,9453725;126,6334413;83,14546611;69,5689742;78,93976244;107,5408479;0"
"61;73,32869108;105,6760286;74,27713821;120,7277305;105,4818244;151,9179436;151,0097049;139,9558673;142,0489052;134,0650872;96,10559386;73,31616452;81,8247495;114,4499671;1"
"62;82,18246661;116,5812377;81,47941062;128,5699008;110,7687321;156,9422938;153,3571458;143,4202539;144,1376262;134,1771174;105,0199678;77,71135428;81,22773799;120,3511484;1"
"63;91,18658508;123,2784179;89,3981172;130,1636848;112,8139778;153,6225972;152,2270246;143,4690496;144,9952725;135,3007413;110,8955596;83,54559418;83,04707686;123,2772971;1"
"64;93,78186242;131,000021;99,03099815;126,8559115;116,0338892;145,3101254;147,3835419;138,4309695;142,3767071;130,8620873;112,0246197;88,67376892;82,644887;124,0693798;1"
"65;103,0083794;130,414883;98,65408329;133,8925124;115,9598774;139,9406208;141,0755724;134,6502308;140,7546223;126,9306916;111,6976462;92,83363745;83,90137256;123,2007485;1"
"66;97,30444271;124,7910675;102,5618743;129,8128331;117,6029526;128,0876087;134,5100663;126,3305463;137,1113839;123,4923273;112,6394699;87,29737711;87,07878274;120,4530592;1"
"67;97,63460767;118,9773189;104,9292649;125,5690285;114,534168;125,208923;128,1043975;120,7269379;128,8960991;120,4488592;108,5734504;88,3863243;83,75375846;116,6695779;1"
"68;101,8196326;109,5206784;103,5919379;121,0389006;110,7748635;121,0351542;121,5097423;116,9477416;122,2800348;118,4346369;103,481526;90,19629031;79,94255524;113,0971015;1"
"69;103,5098861;104,105044;104,4469693;115,9737454;110,9504331;118,6229308;118,0865901;113,2020092;117,3820972;114,1796006;99,75652544;89,36058775;86,53342924;110,1977117;1"
"70;103,8951943;106,1240943;107,13237;115,3626999;109,642097;119,5568487;116,9837453;113,6207914;116,0615383;112,6747866;101,184048;91,43083053;88,5521791;110,215003;1"
"71;105,5239929;106,5629853;107,1662135;115,6539549;111,2533921;115,4900982;116,3597371;113,8624363;115,2805591;110,807826;103,0281268;92,28036401;87,74003013;109,5434297;1"
"72;105,0298109;107,2344333;107,3442544;114,1172404;110,3814334;114,2829586;114,9370338;113,2019467;115,3885528;110,3788193;103,4554762;93,01554182;91,20097092;108,4778807;1"
"73;105,7496603;106,7817458;108,0387012;112,2379917;108,9598396;113,1900832;113,2393742;111,721623;113,5468629;109,7696066;103,1288812;95,50606563;89,86121258;107,7357758;1"
"74;103,7045698;110,0770698;104,469892;110,472628;108,9489529;111,5833149;108,5791448;108,0669514;109,9222376;105,8509353;100,9706615;95,72724981;90,50371453;105,356684;1"
"75;102,1434955;105,2119783;106,5151202;108,6576284;107,3831185;110,8612722;106,7283683;106,0857633;108,0279619;103,5238105;101,4601123;99,00983579;92,44568058;104,0666541;0"
"76;100,4387765;105,6372403;104,7081075;108,3592583;105,1682861;106,167603;104,3394412;103,4653871;105,4591588;102,3018381;103,117943;96,59425985;95,48395336;103,3033027;0"
"77;95,10513492;102,3757395;102,9850817;103,1355303;102,0803054;102,1245273;100,1089449;100,5681601;100,2288515;98,79382729;100,6759401;97,16199024;98,04333031;100,7458919;0"
"78;100,9537552;101,3564752;100,8640557;101,1401726;101,6109701;102,270167;101,0877095;101,0402262;100,9102983;101,1197101;100,8353261;100,5109148;101,2721054;101,1317315;0"
"79;101,5766108;104,2580199;101,167509;105,2993551;104,2528183;101,5846292;98,90121798;101,2686045;101,141814;102,7216015;100,2393844;99,17262676;103,758827;102,6515875;0"
"80;100,3061891;104,3996089;103,1456306;104,2975602;101,5440471;105,5984033;101,8303755;101,4173274;101,2326246;100,8417113;97,60790933;98,83182995;104,7675587;102,406106;0"
"81;101,3585107;107,3790066;101,7864847;105,6898633;101,9079944;107,6737769;102,293073;104,8049315;101,873293;101,2507865;98,41020321;99,68106334;104,3901514;102,4043816;0"
"82;97,90196092;104,1261858;102,5765436;105,9240394;99,62877271;106,2057849;103,8305648;103,968608;104,6359562;103,9405305;100,5116519;99,31718497;111,7457534;103,4991877;0"
"83;95,00003788;102,7093632;99,91475987;104,9734962;99,08540275;104,8660626;104,5373541;105,9841367;102,8271908;101,0300227;95,83422056;101,4162919;106,0049371;101,6350788;0"
"84;95,4758955;99,47395455;99,7350923;104,1256405;100,2292192;106,495586;104,1040799;105,2677262;102,2773082;102,358546;96,68096486;105,1686637;114,2157257;102,4770553;0"
"85;91,4103781;98,24836101;101,0468642;106,243794;101,207517;105,2536238;106,6275061;105,4142887;105,3195824;104,9925492;99,45257634;99,84963878;112,8005638;104,3847603;1"
"86;101,0202256;98,78624933;95,72413126;104,746377;102,2225488;104,4088181;104,3421715;104,5160876;104,0860892;105,1271641;94,591964;101,6099249;111,9330367;102,9495877;1"
"87;96,7650531;97,80641672;95,87691436;102,951045;102,2086495;105,8910824;108,6347335;102,0504973;108,3663709;105,9829456;100,1718968;98,4408664;115,8280533;102,2994433;1"
"88;93,61919508;98,45691113;94,65866264;104,6340009;101,3352978;104,4124128;107,7939679;102,0167707;109,8330375;104,4236353;95,80253097;98,06333586;117,1949713;101,7456393;1"
"89;94,09833974;97,51374875;94,76133447;103,8372132;101,7681921;106,1421819;107,6172818;101,4550969;111,3963402;103,7936969;98,35444735;99,41247264;122,2550863;101,9018693;1"
"90;95,7106547;96,19887856;96,07509009;104,5547511;104,4983807;105,1028303;110,9113787;102,8345587;106,5896697;105,7834283;93,91162528;101,6590376;122,9468332;103,4757785;1"
"91;97,50955198;98,33157202;98,46329459;106,6354352;102,4151525;108,1069743;113,1915097;104,2517814;112,4929694;105,746961;97,24486498;101,7894441;127,9194279;105,1543734;1"
"92;96,65343725;99,93812633;99,11308615;107,2357924;107,0811367;108,4755952;115,1199032;107,5702989;115,7072997;109,1941211;100,7345593;100,1732109;132,871649;107,0697603;1"
"93;99,42537796;104,2503908;101,3872334;111,9461796;109,7251456;112,3594328;119,029117;111,8278234;120,9343857;111,6537442;99,29451151;101,343363;137,5776514;110,3642456;0"
"94;99,4319831;102,3275714;103,3423013;112,7121178;111,2751321;120,407052;120,3550271;115,3504377;128,3025356;112,8085839;102,0684891;101,3917792;141,7376632;112,3572942;0"
"95;98,6345736;104,8851566;103,9484687;111,4898204;113,9511137;116,5081592;124,2675455;121,2394195;132,2971885;115,3671345;103,927617;103,959032;143,9204232;115,8556253;0"
"96;103,2490898;107,8112846;106,3345341;120,3924905;115,611485;122,5060778;129,5054038;128,1276696;142,1294707;117,8599863;105,8150208;107,9441078;149,537622;120,4110919;0"
"97;103,8638895;108,9334018;108,3845533;119,706532;117,1761451;125,1765381;131,7712879;134,0105552;141,5753503;121,2175896;105,6143938;109,5330935;152,7987983;123,7780984;0"
"98;104,7974325;111,0211154;109,4001881;121,5736324;119,8453421;125,3305804;135,3804856;139,5471764;147,5059353;123,6889462;106,6785646;110,7363007;157,1897589;126,5702744;1"
"99;106,7589826;109,3668975;110,5476409;123,4006731;119,374199;129,366071;137,8500107;143,0569103;152,8974496;126,418049;106,3635745;111,8486563;161,7972605;129,3868109;1"
"100;107,5240293;109,5233502;111,451602;124,7307824;121,3405343;132,9093787;139,5299795;146,6801615;158,2651812;130,015649;111,5239646;116,4490073;157,7315731;131,4511629;1"
"101;106,1387243;108,0377212;111,4049446;124,8827063;123,5174807;132,3221196;143,149331;149,431395;161,8412878;131,3172674;109,9706887;113,0129858;169,6345173;132,9114879;1"
"102;107,5019919;111,9666566;114,6121574;128,4675144;125,1200817;135,5483237;145,8674167;151,4163835;167,129334;133,2315099;112,8220459;116,0162165;173,5690344;135,7186268;1"
"103;108,6049796;113,0387866;116,2458984;131,5045753;127,8520199;134,1995227;147,2111617;155,5485192;172,2676252;138,453908;113,8817997;117,1246382;172,8571072;138,8772117;0"
"104;111,1425194;115,3570826;118,2342055;134,7366866;130,4774486;140,5425591;156,2237053;162,0787525;182,2838633;142,6407403;114,6900774;117,1782058;185,0984959;143,2375422;0"
"105;111,9449208;118,6278701;121,5864386;137,5912611;134,4270206;148,7553952;165,6484979;172,4427861;196,469138;151,430831;119,486525;118,2733176;181,6490941;149,7058341;0"
"106;112,6040851;118,2975451;122,8481605;143,314109;137,7404303;157,1154983;176,192652;184,3273598;209,7829177;160,3675362;123,638028;121,0540116;191,692591;156,2842838;0"
"107;115,8408843;122,4477467;127,0578418;146,5778878;142,7350429;161,7672591;183,2031761;190,0088956;216,0092721;165,4658782;124,4083297;123,4255738;200,0982771;161,0659412;1"
"108;114,685676;119,8314684;124,1862254;148,3444811;145,7398686;162,0049675;185,2031768;192,6752903;214,9932313;167,7861235;124,8100353;121,7713977;201,188084;160,1243952;1"
"109;117,2960369;124,882667;126,6704222;152,7184509;146,9563228;164,7989529;187,5295155;195,4104046;221,7024522;165,9672487;126,4176697;123,8678708;209,1932158;163,7589143;1"
"110;121,6983148;128,8674599;132,2460897;156,9294538;152,6967254;172,4053059;192,127116;198,1822455;221,7754485;174,9766699;131,5895988;123,8028781;213,1442584;169,0225862;1"
"111;116,8262525;130,7105432;134,0181128;160,1592692;156,5392838;177,9021588;199,405292;209,0303307;238,251969;180,92625;134,3798499;123,4384457;216,6306092;173,7767119;1"
"112;129,8325867;133,7183518;141,3700435;167,1816986;161,5493157;192,3969444;209,5802885;213,659823;246,5937093;187,6140446;136,5439782;127,7957854;220,1589872;180,0606702;1"
"113;130,7781654;138,1139384;145,5247475;175,6314541;165,7351622;194,6253245;216,8969639;218,224565;252,8217538;194,7551239;141,6451386;129,9143131;215,9626611;185,605902;1"
"114;131,9440476;144,4269172;149,131411;182,8561248;174,9538488;203,4464465;221,4691203;224,8928267;257,6417258;205,8089762;145,2211332;134,5676474;222,9157905;192,1096486;1"
"115;142,7803377;154,0374936;159,2492502;196,7127359;184,7002749;219,2629662;240,0595116;238,6978151;273,8408081;219,7966411;155,5945076;138,561753;234,6619284;205,1459228;0"
"116;153,9842429;167,3130088;168,9190106;214,0143953;198,2865274;234,3657176;259,2855727;253,6298413;294,0893498;239,0383025;165,5307138;146,1888046;238,7075379;219,1333514;0"
"117;166,686152;186,8839374;179,4706261;224,0178392;215,8085565;250,7103102;277,4782499;274,6843199;306,5683555;254,6894792;180,6842255;151,1021712;249,1504056;232,4892822;0"
"118;179,6238041;187,321213;187,7372248;239,8356802;226,1627616;258,1777251;289,3924624;278,2061288;318,3664883;262,7411722;181,6222246;150,916664;254,3807219;241,8532653;0"
"119;188,9035864;202,6463507;198,0478002;252,3023807;229,0646256;264,9087137;293,4046391;281,01972;314,0483752;267,7531596;198,2259663;160,7970725;256,863354;248,360694;0"
"120;202,6235518;215,0484224;208,7160564;258,5158607;240,6654324;269,3002686;297,7825376;285,6697085;317,4685081;273,6455905;208,7448135;166,5831229;267,4483128;256,6244529;0"
"121;217,4389096;226,8309746;219,6225685;273,7718265;252,4762159;277,0915214;306,3708805;291,3554859;328,5440158;286,4998859;227,7704223;176,5709458;273,3803246;268,4648761;0"
"122;238,7228855;240,4822912;239,1029585;286,2031013;260,2291208;291,4559316;318,8884627;300,330451;338,3428709;297,850501;247,8247187;187,0853635;285,9492009;280,361751;1"
"123;251,221175;260,0646529;254,1701571;301,3419096;275,3311823;303,0987795;330,0353702;307,2411012;347,4041658;312,970894;263,552019;199,6488935;294,4374078;293,9559912;1"
"124;263,6313497;270,494655;267,0836253;310,1307784;285,9675512;312,7329858;340,3974816;314,8045236;353,5633327;324,1899455;278,8165578;206,6695307;309,4853338;303,8371813;1"
"125;267,3766129;272,9553045;273,3734309;314,937776;285,8514159;315,335606;338,4151789;314,7840668;353,3337249;323,4901387;283,1856831;208,7959402;321,2153975;305,5509763;1"
"126;270,3714885;277,5754758;274,773829;315,3453577;288,9727591;315,8938645;335,952436;314,6951541;351,1985596;322,6646988;284,423017;215,8050513;323,5405668;307,9641621;0"
"127;271,8143333;281,8974673;277,5218178;314,6459458;291,7160712;315,7353409;338,0474826;317,5819308;359,7998158;327,967576;283,1547593;220,2497303;334,2575126;311,8158465;0"
"128;270,8739671;282,691781;280,2435536;316,9569284;289,6098843;316,4859432;339,9487474;316,2245527;359,4357139;325,9499402;286,7410524;221,6417556;345,7047455;312,3689129;0"
"129;261,7007912;287,2886407;281,3756961;314,9243325;288,2674965;320,9191193;342,3267586;317,7045637;361,7482095;330,8973572;282,9512898;228,1730588;362,3080411;315,2119778;0"
"130;271,7184354;293,2607885;288,5910031;319,7480732;295,861481;323,4120017;347,7772952;323,6390804;369,4139761;337,8837323;293,392297;236,6693296;380,9797365;323,0219663;0"
"131;274,377786;295,4526556;288,891085;321,3099611;296,8888025;330,8779733;351,5416445;327,9979368;376,801284;339,3817847;296,4778286;243,9261272;417,7446206;326,8397682;0"
"132;273,5524883;300,8955192;290,3470864;327,9108036;299,6151435;337,5520411;357,3450891;334,5532326;385,4817728;344,3813705;299,7566919;255,6903019;461,8305007;334,0501064;0"
"133;283,5137632;307,9136953;298,1901549;334,5932966;304,7720888;344,4741981;368,8531483;345,7877271;402,7624196;354,499718;308,0891406;264,2151058;521,3501001;344,2762221;0"
"134;285,0554249;311,9910159;301,6382007;338,9812347;310,227592;352,2512723;379,0669578;356,704942;422,8820923;366,2477471;311,703256;272,5571688;600,6892427;353,8440996;0"
"135;291,3686941;313,8238818;305,9056161;343,5680589;314,4514562;356,5612886;387,7362869;362,8783962;435,8946179;370,6859919;318,2460452;279,9636355;643,806669;360,1327811;0"
"136;293,8157016;316,7737126;305,5310694;343,4128162;313,3867427;360,7294985;393,1447756;371,1996199;448,4062248;376,6277008;315,7464028;287,3982719;658,2770633;365,1504791;0"
"137;292,7889018;315,5973059;308,0866561;343,897554;317,8768149;363,78756;395,5544146;375,1145138;454,5489537;377,4764735;321,2969653;290,2417043;647,784909;367,7594069;1"
"138;292,3750906;312,6974103;301,3435451;340,0929595;311,1713968;358,883191;392,1741459;370,217262;447,2343812;367,7056249;315,2139041;289,976493;579,9504538;361,8699303;1"
"139;280,8095212;295,449171;289,5181478;323,5879541;298,4053569;338,4242148;371,9641223;355,7811876;425,2188936;359,1438125;293,8185065;281,7205731;524,4841088;345,6634169;1"
"140;268,8542067;284,728812;277,6792963;309,945837;284,8835805;319,6053664;349,847292;332,4173575;406,1480405;333,0332398;286,5992566;267,4490896;461,0375399;327,4720199;1"
"141;259,9293627;272,5608782;263,5627764;294,9746886;272,8831846;302,996458;334,6248706;315,6606888;386,1481877;321,405132;282,2906109;266,240781;426,6546829;313,3902399;1"
"142;250,0237398;262,7656383;255,3449936;281,4519609;264,0580066;287,6039037;320,529722;306,261654;366,3347637;313,6409102;258,4287166;253,5924648;407,8199247;302,3590223;1"
"143;243,3203086;266,1823027;253,749436;286,5169017;264,0785712;301,3858798;330,4826802;311,2104583;381,1782812;311,5300981;275,4021135;252,9410844;388,71597;305,0244689;1"
"144;253,5192163;272,2370656;265,0221431;293,4528665;271,4131661;312,4846333;343,5836304;325,0956427;398,2981043;327,2474646;276,4345333;265,2849031;423,1847161;317,3423437;0"
"145;254,3868877;280,2485013;270,9437385;302,4760031;278,3176129;316,282731;353,0295534;335,9784573;413,5933623;334,0692285;281,3644683;268,5483335;399,3027872;324,009692;0"
"146;256,134042;281,0624205;267,8356724;308,7985647;281,8665038;324,1991697;362,2461075;344,0346539;424,464507;341,9658476;286,3290789;267,8264446;395,2755483;329,265363;0"
"147;257,8920089;285,073842;272,830218;311,647735;286,939733;327,910142;367,4811275;351,4302389;430,2317914;350,2194017;287,9567979;271,0235492;368,6664566;333,8009007;0"
"148;255,671884;276,706461;269,5937783;310,7104085;284,3623523;325,2074779;367,527985;352,3982794;435,3019675;347,8017818;284,4103826;264,2107461;375,766762;331,5027736;0"
"149;256,1668251;270,336569;265,9440121;307,5908859;279,9390875;326,8911619;360,0738841;345,2007894;424,2016262;341,2359145;276,0842667;262,7193331;362,1604377;325,9161517;0"
"150;252,5012374;278,4730963;268,9341649;307,879135;280,217619;325,1067031;358,4862704;353,3675624;433,6012838;340,7676412;279,2466624;262,0471505;351,7344857;328,271723;0"
"151;254,8205455;279,3991461;270,6878448;308,2361253;278,9321895;322,6740471;362,4073724;350,5170019;441,6872294;342,4030193;285,0547261;262,1646282;353,7838157;329,6745827;0"
"152;254,0005242;277,2615225;263,1725066;308,4285891;280,2976556;327,8383991;361,8140924;356,929836;437,9449339;345,1458191;284,6937302;261,9782237;340,6709969;330,087131;0"
"153;254,1873159;275,0122351;262,7925643;309,6465976;280,8152493;331,6094139;365,7499699;357,6838992;447,7319015;343,5196561;280,4257011;260,5959983;330,5738829;329,8036396;1"
"154;254,6086175;272,4219065;262,8055023;308,940028;279,851758;329,4177609;364,8791119;356,5218973;443,4376354;341,9935107;271,4865052;261,1040912;320,4250292;328,7455331;1"
